YEAR,MONTH,TAX REV IMPORT DUTY,TAX REV EXCISE DUTY,TAX REV INCOME TAX,TAX REV VAT,OTHER TAX INCOME,TOTAL TAX REVENUE,NON TAX REVENUE,TOTAL REVENUE,PROGRAMME GRANTS,PROJECT GRANTS,TOTAL GRANTS,RECURRENT EXPENDITURE DOMESTIC INTEREST,RECURRENT EXPENDITURE FOREIGN IMTEREST,RECURRENT EXPENDITURE WAGES & SALARIES,RECURRENT EXPENDITURE PENSIONS,RECURRENT EXPENDITURE OTHER,TOTAL RECURRENT EXPENDITURE,COUNTY TRANSFER,DEVELOPMENT EXPENDITURE ,TOTAL EXPENDITURE,,
2005,1,"14,047,000,000","25,260,000,000","55,557,000,000","43,434,000,000",0,"138,298,000,000","27,348,000,000","165,646,000,000",0,"7,108,000,000","7,108,000,000","11,984,010,000","5,190,430,000","62,025,570,000","7,532,000,000","50,002,990,000","136,735,000,000",0,"21,388,000,000","158,123,000,000",,
2005,2,"15,886,000,000","28,901,000,000","61,342,000,000","48,930,000,000",0,"155,059,000,000","30,460,000,000","185,519,000,000",0,"9,366,000,000","9,366,000,000","13,855,000,000","5,612,000,000","68,899,000,000","9,132,000,000","56,307,000,000","153,805,000,000",0,"24,158,000,000","177,963,000,000",,
2005,3,"17,533,000,000","32,414,000,000","69,295,000,000","55,620,000,000",0,"174,862,000,000","33,903,000,000","208,765,000,000",0,"10,371,000,000","10,371,000,000","16,368,000,000","6,196,000,000","77,315,000,000","9,797,000,000","67,309,000,000","176,985,000,000",0,"25,268,000,000","202,253,000,000",,
2005,4,"19,309,000,000","36,180,000,000","78,792,000,000","62,565,000,000",0,"196,846,000,000","35,960,000,000","232,806,000,000",0,"11,236,000,000","11,236,000,000","18,406,000,000","6,724,000,000","85,602,000,000","11,821,000,000","77,780,000,000","200,333,000,000",0,"29,621,000,000","229,954,000,000",,
2005,5,"21,010,000,000","39,892,000,000","87,626,000,000","68,247,000,000",0,"216,775,000,000","37,405,000,000","254,180,000,000",0,"12,396,000,000","12,396,000,000","20,500,000,000","7,011,000,000","95,780,000,000","12,124,000,000","90,049,000,000","225,464,000,000",0,"35,328,000,000","260,792,000,000",,
2005,6,"23,532,000,000","44,151,000,000","99,255,000,000","75,989,000,000",0,"242,927,000,000","46,875,000,000","289,802,000,000","5,564,000,000","9,341,000,000","14,905,000,000","23,375,000,000","7,427,000,000","105,612,000,000","12,568,000,000","109,096,000,000","258,078,000,000",0,"45,627,000,000","303,705,000,000",,
2005,7,"987,000,000","2,687,000,000","6,654,000,000","3,826,000,000",0,"14,154,000,000","1,327,000,000","15,481,000,000",0,"818,000,000","818,000,000","2,098,000,000","1,946,000,000","8,944,000,000","575,000,000","7,571,000,000","21,134,000,000",0,"3,533,000,000","24,667,000,000",,
2005,8,"2,742,000,000","6,080,000,000","15,462,000,000","9,577,000,000",0,"33,861,000,000","3,551,000,000","37,412,000,000",0,"1,881,000,000","1,881,000,000","4,201,000,000","2,603,000,000","17,869,000,000","2,118,000,000","21,576,000,000","48,367,000,000",0,"8,785,000,000","57,152,000,000",,
2005,9,"4,652,000,000","11,369,000,000","27,337,000,000","14,771,000,000",0,"58,129,000,000","6,815,000,000","64,944,000,000",0,"3,760,000,000","3,760,000,000","6,529,000,000","3,222,000,000","26,833,000,000","4,438,000,000","32,072,000,000","73,094,000,000",0,"13,458,000,000","86,552,000,000",,
2005,10,"6,322,000,000","15,246,000,000","35,498,000,000","21,362,000,000",0,"78,428,000,000","12,493,000,000","90,921,000,000",0,"4,201,000,000","4,201,000,000","8,970,000,000","5,031,000,000","35,619,000,000","7,404,000,000","43,993,000,000","101,017,000,000",0,"16,821,000,000","117,838,000,000",,
